refnumber,xptfilename,xptdataset,datasetprefix,datasetmodule,genericdescription,xpttablealias,rxpttable,cdiscdescription
66,FDA-CBER-2021-5683-0484356-0484378-125742_S1_M5_BNT162-01-S-D-XA,xa,s_d,s1_m5,"Ancillary Analysis and Visit Details",fda_s1_m5_bnt162_01_s_d_xa,FDA_CBER_2021_5683_0484356_0484378_125742_S1_M5_BNT162_01_S_D_XA,"This is a dataset (XA) logging contact with a subject that occurred during a clinical trial.  It records information such as when informed consent was given, when vaccination visits occurred, when blood samples were drawn and the dates and outcomes of follow-up telephone calls."
67,FDA-CBER-2021-5683-0484342-0484355-125742_S1_M5_BNT162-01-S-D-AE,ae,s_d,s1_m5,"Adverse Events",fda_s1_m5_bnt162_01_s_d_ae,FDA_CBER_2021_5683_0484342_0484355_125742_S1_M5_BNT162_01_S_D_AE,"This is a dataset of Adverse Events (AE) - observations made during the clinical trial describing untoward medical occurrences in subjects that are given a pharmaceutical product.  In this case, the information provided includes whether a person experienced injection site pain, headache or hair loss; the severity and timing of the event; whether this was considered related to the injection; and whether the person recovered."
68,FDA-CBER-2021-5683-0539816-0593326-125742_S1_M5_C4591001-01-S-SUPP-D-FACE,face,s_supp_d,s1_m5,"Findings About Clinical Events Supplement",fda_s1_m5_s_supp_d_face,FDA_CBER_2021_5683_0539816_0593326_125742_S1_M5_C4591001_01_S_SU,"This dataset is a supplement issue of data (supp_FACE) that represent findings about an event or intervention cannot be held within its standard dataset but also cannot be stored as a supplemental qualifier to such a record.  This could be for reasons related to an event's timing or because a finding cannot be represented using a single value."
69,FDA-CBER-2021-5683-0593327-0593481-125742_S1_M5_BNT162-01-S-D-CE,ce,s_d,s1_m5,"Clinical Events",fda_s1_m5_bnt162_01_s_d_ce,FDA_CBER_2021_5683_0593327_0593481_125742_S1_M5_BNT162_01_S_D_CE,"This dataset (CE) contains information about events that are of clinical interest but which are not classified as Adverse Events.  In this case, examples are chills, fever, fatigue, vomiting."
70,FDA-CBER-2021-5683-0593482-0593595-125742_S1_M5_BNT162-01-S-D-PE,pe,s_d,s1_m5,"Physical Examination",fda_s1_m5_bnt162_01_s_d_pe,FDA_CBER_2021_5683_0593482_0593595_125742_S1_M5_BNT162_01_S_D_PE,"This dataset (PE) holds findings from conducting a Physical Examination of a trial subject. A physical examination dataset captures information from inspection (visual examination), palpation (feeling for lumps and swellings), percussion (tapping on an area of the body and interpreting the feel and sound), auscultation (listening using a stethoscope)."
71,FDA-CBER-2021-5683-0593596-0593620-125742_S1_M5_BNT162-01-S-D-SE,se,s_d,s1_m5,"Subject Elements",fda_s1_m5_bnt162_01_s_d_se,FDA_CBER_2021_5683_0593596_0593620_125742_S1_M5_BNT162_01_S_D_SE,"The Subject Elements dataset (SE) consolidates information about the timing of each subject's progress through the epochs and elements of the trial."
72,FDA-CBER-2021-5683-0593621-0593664-125742_S1_M5_BNT162-01-S-SUPP-D-SUPPAE,suppae,s_supp_d,s1_m5,"Adverse Events Supplemental Qualifiers Supplement",fda_s1_m5_bnt162_01_s_supp_d_suppae,FDA_CBER_2021_5683_0593621_0593664_125742_S1_M5_BNT162_01_S_SUPP,"This is a supplement issue of additional information related to Adverse Events (supp_SuppAE) that cannot be stored in that standard dataset. In this case, the extra information is Epi/Pandemic Related Indicator, Treatment Emergent Flag, Dose limiting Toxicity."
73,FDA-CBER-2021-5683-0593665-0593743-125742_S1_M5_BNT162-01-S-SUPP-D-SUPPCM,suppcm,s_supp_d,s1_m5,"Concomitant Prior Medications Supplemental Qualifiers Supplement",fda_s1_m5_bnt162_01_s_supp_d_suppcm,FDA_CBER_2021_5683_0593665_0593743_125742_S1_M5_BNT162_01_S_SUPP,"This is a supplement issue of additional information related to Concomitatant Prior Medications (supp_SuppCM) that cannot be stored in that standard dataset. In this case, the extra information is covers, for example, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM and PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS."
74,FDA-CBER-2021-5683-0593744-0593769-125742_S1_M5_BNT162-01-S-SUPP-D-SUPPDS,suppds,s_supp_d,s1_m5,"Disposition Supplemental Qualifiers Supplement",fda_s1_m5_bnt162_01_s_supp_d_suppds,FDA_CBER_2021_5683_0593744_0593769_125742_S1_M5_BNT162_01_S_SUPP,"This is a supplement issue of the additional information related to Disposition (supp_SuppDS) that cannot be held in the standard dataset.  The Disposition dataset records the overall clinical study conclusion for a subject once all contact with the person ends."
75,FDA-CBER-2021-5683-0593770-0593800-125742_S1_M5_BNT162-01-S-SUPP-D-SUPPEC,suppec,s_supp_d,s1_m5,"Exposure as Collected Supplemental Qualifiers Supplement",fda_s1_m5_bnt162_01_s_supp_d_suppec,FDA_CBER_2021_5683_0593770_0593800_125742_S1_M5_BNT162_01_S_SUPP,"This is a supplemental issue of the additional information related to Exposure as Collected (supp_SuppEC) that cannot be stored in that standard dataset."
76,FDA-CBER-2021-5683-0593801-0593831-125742_S1_M5_BNT162-01-S-SUPP-D-SUPPEX,suppex,s_supp_d,s1_m5,"Exposure Supplemental Qualifiers Supplement",fda_s1_m5_bnt162_01_s_supp_d_suppex,FDA_CBER_2021_5683_0593801_0593831_125742_S1_M5_BNT162_01_S_SUPP,"This is a supplemental issue of the additional information (supp_SuppEX) related to Exposure that cannot be stored in that standard dataset."
77,FDA-CBER-2021-5683-0594977-0595464-125742_S1_M5_bnt162-01-S-D-suppvs,suppvs,s_d,s1_m5,"Vital Signs Supplemental Qualifiers",fda_s1_m5_bnt162_01_s_d_suppvs,FDA_CBER_2021_5683_0594977_0595464_125742_S1_M5_BNT162_01_S_D_SU,"This is additional information related to Vital Signs (SuppVS) that cannot be stored in that standard dataset."
78,FDA-CBER-2021-5683-0595465-0595943-125742_S1_M5_bnt162-01-S-D-vs,vs,s_d,s1_m5,"Vital Signs",fda_s1_m5_bnt162_01_s_d_vs,FDA_CBER_2021_5683_0595465_0595943_125742_S1_M5_BNT162_01_S_D_VS,"A findings domain (VS) that contains measurements including but not limited to blood pressure, temperature, respiration, body surface area, body mass index, height and weight."
79,FDA-CBER-2021-5683-0595944-0600619-125742_S1_M5_c4591001-S-D-se,se,s_d,s1_m5,"Subject Elements",fda_s1_m5_s_d_se,FDA_CBER_2021_5683_0595944_0600619_125742_S1_M5_C4591001_S_D_SE,"The Subject Elements dataset (SE) consolidates information about the timing of each subject's progress through the epochs and elements of the trial."
80,FDA-CBER-2021-5683-0600620-0616658-125742_S1_M5_c4591001-S-D-suppec,suppec,s_d,s1_m5,"Exposure as Collected Supplemental Qualifiers",fda_s1_m5_s_d_suppec,FDA_CBER_2021_5683_0600620_0616658_125742_S1_M5_C4591001_S_D_SU,"This dataset is additional information (SuppEC) that cannot be stored in the standard dataset about a trial subject's Exposure as Collected to protocol-specified treatments but with information hidden about whether a placebo or trial drug was administered. "
81,FDA-CBER-2021-5683-0616659-0623310-125742_S1_M5_c4591001-S-D-sv,sv,s_d,s1_m5,"Subject Visits",fda_s1_m5_s_d_sv,FDA_CBER_2021_5683_0616659_0623310_125742_S1_M5_C4591001_S_D_SV,"A special purpose domain (SV) that contains information for each subject's actual and planned visits. The Subject Visits domain consolidates information about the timing of subject visits that is otherwise spread over domains that include the visit variables."
82,FDA-CBER-2021-5683-0623311-0633789-125742_S1_M5_c4591001-S-D-vs,vs,s_d,s1_m5,"Vital Signs",fda_s1_m5_s_d_vs,FDA_CBER_2021_5683_0623311_0633789_125742_S1_M5_C4591001_S_D_VS,"A findings domain (VS) that contains measurements including but not limited to blood pressure, temperature, respiration, body surface area, body mass index, height and weight."
83,FDA-CBER-2021-5683-0633790-0633944-125742_S1_M5_bnt162-01-S-D-adcevd,adcevd,s_d,s1_m5,"Reactogenicity Analysis Dataset",fda_s1_m5_bnt162_01_s_d_adcevd,FDA_CBER_2021_5683_0633790_0633944_125742_S1_M5_BNT162_01_S_D_AD,"This is a special dataset (ADCEVD) tailored to support the analysis of Adverse Events that the NIH terms Reactogenicity Events. These are common and known to occur for the intervention being studied and graded as Absent, Mild, Moderate, Severe or Life-threatening. This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
84,FDA-CBER-2021-5683-0633945-0634074-125742_S1_M5_bnt162-01-S-D-adva,adva,s_d,s1_m5,"Immunogenicity Analysis Dataset",fda_s1_m5_bnt162_01_s_d_adva,FDA_CBER_2021_5683_0633945_0634074_125742_S1_M5_BNT162_01_S_D_AD,"This is a special dataset (ADVA) tailored to support the analysis of the ability of a substance is able to stimulate an immune response.  In this case, the immune response is assessed using blood-related tests such as COVID-19 RBD IgG (U/mL) - Luminex Immunoassay and N-binding antibody - N-binding Antibody Assay."
85,FDA-CBER-2021-5683-0634075-0650113-125742_S1_M5_c4591001-S-D-suppex,suppex,s_d,s1_m5,"Exposure Supplemental Qualifiers",fda_s1_m5_s_d_suppex,FDA_CBER_2021_5683_0634075_0650113_125742_S1_M5_C4591001_S_D_SU,"This dataset is additional information (SuppEX) that cannot be stored in the standard dataset about a trial subject Exposure to protocol specified treatments with information exposed about whether a placebo or trial drug was administered."
86,FDA-CBER-2021-5683-0650114-0650115-125742_S1_M5_c4591001-S-D-ts,ts,s_d,s1_m5,"Trial Summary",fda_s1_m5_s_d_ts,FDA_CBER_2021_5683_0650114_0650115_125742_S1_M5_C4591001_S_D_TS,"The Trial Summary (TS) dataset allows the sponsor to submit a summary of the trial in a structured format. Each record in the TS dataset contains the value of a characteristic of the trial."
87,FDA-CBER-2021-5683-0652981-0654506-125742_S1_M5_bnt162-01-A-D-adlb,lb,a_d,s1_m5,"Laboratory Test Results",fda_s1_m5_bnt162_01_a_d_adlb,FDA_CBER_2021_5683_0652981_0654506_125742_S1_M5_bnt162_01_A_D_ad,"A dataset (ADLB) tailored to support the analysis of Laboratory Test Results, itself a findings domain that contains laboratory test data such as hematology, clinical chemistry and urinalysis. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains."
88,FDA-CBER-2021-5683-0654507-0658059-125742_S1_M5_bnt162-01-S-Supp-D-suppface,suppface,s_supp_d,s1_m5,"Findings About Clinical Events Supplemental Qualifiers Supplement",fda_s1_m5_bnt162_01_s_supp_d_suppface,FDA_CBER_2021_5683_0654507_0658059_125742_S1_M5_bnt162_01_S_Supp,"This is a supplement of the additional information (supp_SuppFACE) related to the Findings about Events or Interventions that cannot be stored in the standard dataset. In this case, the extra information is about the data collection type and languages used in that process. Here, the item is Reported Study Day of Collection."
89,FDA-CBER-2021-5683-0658060-0661613-125742_S1_M5_bnt162-01-S-D-face,face,s_d,s1_m5,"Findings About Clinical Events",fda_s1_m5_bnt162_01_s_d_face,FDA_CBER_2021_5683_0658060_0661613_125742_S1_M5_bnt162_01_S_D_fa,"This dataset (FACE) is used when data that represent findings about an event or intervention cannot be held within its standard dataset but also cannot be stored as a supplemental qualifier to such a record.  This could be for reasons related to an event's timing or because a finding cannot be represented using a single value."
90,FDA-CBER-2021-5683-0661614-0663134-125742_S1_M5_bnt162-01-S-D-lb,lb,s_d,s1_m5,"Laboratory Test Results",fda_s1_m5_bnt162_01_s_d_lb,FDA_CBER_2021_5683_0661614_0663134_125742_S1_M5_bnt162_01_S_D_lb,"A findings domain (LB) that contains laboratory test data such as hematology, clinical chemistry and urinalysis. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains."
91,FDA-CBER-2021-5683-0663135-0671344-125742_S1_M5_c4591001-A-D-adsympt,sympt,a_d,s1_m5,"Signs and Symptoms of Disease Analysis Dataset",fda_s1_m5_a_d_adsympt,FDA_CBER_2021_5683_0663135_0671344_125742_S1_M5_c4591001_A_D_ads,"A dataset (ADSYMPT) tailored to the analysis of episodes of symptoms of the disease under study"
92,FDA-CBER-2021-5683-0671345-0674997-125742_S1_M5_c4591001-S-D-supplb,supplb,s_d,s1_m5,"Laboratory Test Results Supplemental Qualifiers",fda_s1_m5_s_d_supplb,FDA_CBER_2021_5683_0671345_0674997_125742_S1_M5_c4591001_S_D_sup,"This dataset is additional information (SuppEX) that cannot be stored in the standard dataset that contains laboratory test data such as hematology, clinical chemistry and urinalysis. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains. Here, the items are Standardized Unit, Laboratory Test Identifier, Lab ID."
93,FDA-CBER-2021-5683-0674998-0678267-125742_S1_M5_c4591001-S-Supp-D-suppmb,suppmb,s_supp_d,s1_m5,"Microbiology Specimen Supplemental Qualifiers Supplement",fda_s1_m5_s_supp_d_suppmb,FDA_CBER_2021_5683_0674998_0678267_125742_S1_M5_c4591001_S_Supp_,"This dataset is additional information (SuppMB) that cannot be stored in the standard dataset that represents non-host organisms identified including bacteria, viruses, parasites, protozoa and fungi. Here, the items are Standardized Unit, Laboratory Test Identifier, Lab ID."
94,FDA-CBER-2021-5683-0678268-0681345-125742_S1_M5_c4591001-A-D-adds,ds,a_d,s1_m5,"Disposition Analysis Dataset",fda_s1_m5_a_d_adds,FDA_CBER_2021_5683_0678268_0681345_125742_S1_M5_c4591001_A_D_add,"This is a dataset (ADDS) tailored to the analysis of overall clinical study conclusions for subjects once all contact with those people ends."
95,FDA-CBER-2021-5683-0681346-0688437-125742_S1_M5_c4591001-S-D-ds,ds,s_d,s1_m5,Disposition,fda_s1_m5_s_d_ds,FDA_CBER_2021_5683_0681346_0688437_125742_S1_M5_c4591001_S_D_ds,"This dataset (DS) records the overall clinical study conclusion for a subject once all contact with the person ends."
96,FDA-CBER-2021-5683-0688438-0698919-125742_S1_M5_c4591001-S-D-vs,vs,s_d,s1_m5,"Vital Signs",fda_s1_m5_s_d_vs,FDA_CBER_2021_5683_0688438_0698919_125742_S1_M5_c4591001_S_D_vs,"A findings domain (VS) that contains measurements including but not limited to blood pressure, temperature, respiration, body surface area, body mass index, height and weight."
97,FDA-CBER-2021-5683-0698920-0703842-125742_S1_M5_c4591001-S-D-suppae,suppae,s_d,s1_m5,"Adverse Events Supplemental Qualifiers",fda_s1_m5_s_d_suppae,FDA_CBER_2021_5683_0698920_0703842_125742_S1_M5_c4591001_S_D_sup,"This is additional information related to Adverse Events (SuppAE) that cannot be stored in that standard dataset. Here, the items are Concomitant Medication Given, Is AE a Result of a Medication Error, Was a Non-Drug Treatment given, Event Due to Other Specify, Discontinued because of this AE, Dictionary Name and Version"
98,FDA-CBER-2021-5683-0703843-0708840-125742_S1_M5_c4591001-S-Supp-D-suppae,suppae,s_supp_d,s1_m5,"Adverse Events Supplemental Qualifiers Supplement",fda_s1_m5_s_supp_d_suppae,FDA_CBER_2021_5683_0703843_0708840_125742_S1_M5_c4591001_S_Supp_,"This is a supplement issue of additional information related to Adverse Events (supp_SuppAE) that cannot be stored in that standard dataset. Here, the items are Concomitant Medication Given, Is AE a Result of a Medication Error, Was a Non-Drug Treatment given, Event Due to Other Specify, Discontinued because of this AE, Dictionary Name and Version."
